1,Forest Fury,materials,yellow
2,Liverto LongsWard,weapon,blue
3,Elsh Longsward,weapon,green
4,Garmoth's Heart,materials,yellow
5,Wooden longbow,weapon,white
6,Ain longbow,weapon,green
7,Vell's Concentrated Magic,materials,orange
8,Rebelth Armor,armor,white
9,Agerian Helmet,armor,green
10,Special corn seed,materials,blue
11,Blackstar Shortsword,weapon,orange
12,Ultimate Krea Florang,weapon,yellow
13,Elsh crossbow,weapon,green
14,Ultimate Basteer Florang,weapon,blue
15,Zereth Helmet,armor,yellow
16,Iron Ingot,materials,white
17,Pepper,materials,white
18,Griffon's Helmet,weapon,yellow
19,Pufferfish,materials,blue
20,Special Garlic,materials,blue
21,Kzarka Axe,weapon,yellow
22,Sunflower seed,materials,white
23,Ain Axe,weapon,green
24,Copper Bar,materials,white
25,Kydict Armor,armor,yellow
26,Seleth Gauntlet,weapon,green
27,Lokaba glove,armor,green
28,High level carrot seed,materials,green
29,Lomeria Helmet,armor,blue
30,Strawberry,materials,white
31,First class corn seed,materials,blue
32,First class corn,materials,blue
33,Heybay Armor,armor,green
34,Militia Gaunlet,weapon,white
35,Veid Crossbow,weapon,yellow
36,Bleg's glove,armor,yellow
37,Stone,materials,white
38,Shiny Opel,materials,green
39,Dead god armor,armor,orange
40,Dead god helmet,armor,orange
41,Blackstar Sword,weapon,orange
42,River water,materials,white
43,Sugar,materials,white
44,Log,materials,white
45,Maple sap,materials,white
46,Ice,materials,white
47,Stonetale grain,materials,green
48,Mushroom,materials,green
49,First class yuzu seed,materials,blue
50,Apple,materials,white